Initiative Code,Initiative Name,website id
CO-349,Finca San José - Mosquera,499752
CO-350,PlaSA Colombia,488852
CO-355,Cacao Hunters,488952
CO-357,Growing hope (FUNDAEC),489052
CO-361,"Iniciativa Cacao, Bosques y Paz",468852
CO-366,Pura Fruta,489152
CO-367,Finca La Canela,468752
CO-368,Totta Terra,489252
CO-370,Ambientados S.A.S BIC,489352
CO-375,Proyecto Utopía,499852
CO-376,Grupo Smile,489452
CO-378,Growing Hope - Demostrative Regenerative Farm,468652
CO-379,Growing hope- Satelite Farms,489552
CO-380,Growing Hope - Schools,489652
CO-382,Raíces Piangueras,489752
CO-389,Cerveceria La Trocha,489852
CO-392,Biofertil Vital,489952
CO-396,Banco de Alimentos Bogotá,
CO-400,Awaecoco,482452
CO-406,Procolcacao,480152
CO-417,EAFIT,480252
CO-429,Zetas la Calera,468552
CO-433,ABD Colombia - Asociación de Agricultura Biodinámica,480352
CO-436,Tecnología Simeh,468452
CO-444,Unidad Agroecológica de la Universidad La Gran Colombia,468352
CO-446,Escuela Viva,482352
CO-469,Cinco cacao,480452
CO-474,Café Quindío,482252
CO-486,ASOCHIP,480552
CO-488,COCTELES KANDELO,480652
CO-489,Amara Botanical Experience,468252
CO-491,Mamma mia,480752
CO-492,Agroprovidencia,468152
CO-493,RAIZAL YOUTH ORGANIZATION (RYOUTH),468052
CO-495,Agrosolidaria Charalá,467952
CO-496,WWF - Alimentación Sostenible y Desperdicio Cero,
CO-497,Fundación Club Campestre,480852
CO-498,Verdes pensamientos,480952
CO-499,Folu,499952
CO-506,Pezfresco,481052
CO-508,BEECO SAS,481152
CO-509,Fundación Milenaria,481252
CO-510,Santo Aroma,481352
CO-511,Mano verde,481452
CO-529,APROEMSUR,481552
CO-531,APROCASURT,467852
CO-533,QUIVICOL - QUIMICA Y CIENCIAS DE LA VIDA DE COLOMBIA,481652
CO-536,URAPANES DEL BOSQUE,481752
CO-540,Coopamat,481852
CO-545,"AGROINDUSTRIA
 LA CEIBA SAS",481952
CO-546,Pan Rebelde,467752
CO-548,Finca Macaní,467652
CO-549,Organicos Villa Aurora,467552
CO-550,Quinua de los andes,467452
CO-551,SetasFresh S.A.S,467352
CO-553,HUAO SAS,482052
CO-585,GDPP - DEPARTAMENTO DE INGENIERÍA QUÍMICA Y DE ALIMENTOS,500052
CO-586,GDPP - DISEÑO DE PRODUCTOS CON BASE EN ALIMENTOS NO CONVENCIONALES,500152
CO-587,GDPP - DESARROLLO DE ALIMENTOS FUNCIONALES,500252
CO-589,GDPP - LPE - LABORATORIO DE PRODUCTOS Y EXPERIENCIAS,500352
CO-590,Arroz La Reserva de la Hacienda con Denominación de Origen Protegida,482152
CO-598,TroutCo,467252
CO-601,BLUE INDIGO FOUNDATION,467152
CO-602,Frutalia,467052
CO-604,Zagos,500452
CO-606,Asoprocvilla,466952
